;OPER_DATE;CREDIT_ACCOUNT_RK;DEBET_ACCOUNT_RK;CREDIT_AMOUNT;DEBET_AMOUNT
180;2018-01-09;8736635;13630;75653.99;66749.09
181;2018-01-09;92629528;13630;78211.52;58030.05
182;2018-01-09;13630;17436;94477.24;54296.68
183;2018-01-09;409685020;13630;12599.68;42847.47
184;2018-01-09;393808409;17436;97504.03;91460.06
185;2018-01-09;1761691;13630;34790.65;18737.04
186;2018-01-09;13630;17436;63546.01;48402
187;2018-01-09;10006159;13630;18312.56;23916.47
188;2018-01-09;17436;13630;41948.39;71131.82
189;2018-01-09;529813816;17437;80016.43;61364.88
190;2018-01-09;409685020;13630;53282.32;40232.06
191;2018-01-09;529751876;13630;80073.54;93303.75
192;2018-01-09;409685020;13630;14799.36;76308.36
193;2018-01-09;17436;13630;50995.42;44448.36
194;2018-01-09;13985;13630;57800.86;84970.36
195;2018-01-09;1761691;13630;89364.15;70505.45
196;2018-01-09;528641685;13630;97911.99;85018.25
197;2018-01-09;18880783;13630;79420.59;35462.87
198;2018-01-09;11735819;13630;69429.4;96935.86
199;2018-01-09;393808409;1972647;46445.46;90246.28
200;2018-01-09;13630;17436;60327.54;59038.02
201;2018-01-09;1761691;13630;69198.65;70145.4
202;2018-01-09;46179628;13630;84380.8;4707.29
203;2018-01-09;61214401;13630;57506.98;48587.39
204;2018-01-09;10006159;13630;85658.68;46108.11
205;2018-01-09;10006159;13630;90496.91;20758.25
206;2018-01-09;409685020;13630;95838.73;71991.33
207;2018-01-09;17434;17436;94563.95;90453.35
208;2018-01-09;2682057;13630;43057.45;29206.94
209;2018-01-09;434141714;13630;2478.41;52278.1
210;2018-01-09;1761691;13630;39267.04;1963.83
211;2018-01-09;409685020;13630;13352.92;95416.01
212;2018-01-09;13883;17436;76478.31;14211.24
213;2018-01-09;1761691;13630;54199.91;32975.41
214;2018-01-09;57223170;13630;45337.86;64758.03
215;2018-01-09;13630;17436;14162.75;2275.93
216;2018-01-09;10006159;13630;30169.84;49215.08
217;2018-01-09;10006159;13630;31510.29;37663.11
218;2018-01-09;1761691;13630;44939.35;37580.51
219;2018-01-09;10006159;13630;41891.14;458.04
220;2018-01-09;1761691;13630;22416.47;41492.33
221;2018-01-09;1761691;13630;65206.61;53639.59
222;2018-01-09;529751924;17436;56961.7;83928.1
223;2018-01-09;8736635;13630;60958.8;40969.43
224;2018-01-09;13985;13630;14225.2;81899
225;2018-01-09;393808409;17436;87740.97;8696.44
226;2018-01-09;6077138;13630;98899.69;59798.39
227;2018-01-09;1761691;13630;85662.29;36805.86
228;2018-01-09;10006159;13630;73249.26;23398.56
229;2018-01-09;13985;13630;3120.82;29718.66
230;2018-01-09;393808409;17436;69465.32;71669.72
231;2018-01-09;393806608;17436;50863.32;15828.52
232;2018-01-09;1761691;13630;95323.19;22007.19
233;2018-01-09;10006159;13630;58421.37;40778.08
234;2018-01-09;17436;1972647;9571.84;36455.1
235;2018-01-09;17436;13630;90911.39;65473.91
236;2018-01-09;34157147;13631;70699.27;67685.02
237;2018-01-09;13630;17436;5917.69;96228.74
238;2018-01-09;8736635;13630;85891.93;74311.72
239;2018-01-09;15698716;13630;36385.45;90703.51
240;2018-01-09;10006159;13630;96110.24;41940.88
241;2018-01-09;1761691;13630;41671.85;44237.55
242;2018-01-09;10006159;13630;24556.41;99825.04
243;2018-01-09;393808409;17436;39081.79;3419.1
244;2018-01-09;1761691;13630;72613.64;34631.1
245;2018-01-09;12048338;13630;67381.77;14404.67
246;2018-01-09;409685020;13630;9250.23;92754.47
247;2018-01-09;10006159;13630;16286.56;17739.66
248;2018-01-09;13630;17436;63499.52;23627.98
249;2018-01-09;13630;17436;94417.67;66533.54
250;2018-01-09;48182547;13630;20383.2;51870.18
251;2018-01-09;409685020;13630;6443.35;84924.47
252;2018-01-09;92629528;13630;49584.01;93658.66
253;2018-01-09;1761691;13630;4925.18;84791.62
254;2018-01-09;17436;13630;34110.11;22047.74
255;2018-01-09;409685020;13630;27509.37;69359.5
256;2018-01-09;10006159;13630;65339.44;44792.67
257;2018-01-09;409685020;13630;73956.21;94021.73
258;2018-01-09;10006159;13630;71494.76;89945.11
259;2018-01-09;10006159;13630;19247.62;67936.83
260;2018-01-09;41529;13630;56638.29;25803.14
261;2018-01-09;10006159;13630;55182.75;18822.08
262;2018-01-09;409684688;13632;29209.57;7197.94
263;2018-01-09;311159924;13630;83213.58;34198.8
264;2018-01-09;17436;13630;91312.99;335.36
265;2018-01-09;13985;13630;62762.28;6275.13
266;2018-01-09;2682057;13630;26181.9;42828.8
267;2018-01-09;409685020;13630;75627.98;45694.25
268;2018-01-09;10006159;13630;35599.53;46597.04
269;2018-01-09;409685020;13630;29029.17;58666.52
270;2018-01-09;311161686;13630;21872.77;66591.16
271;2018-01-09;48182547;13630;72778.6;37953.08
272;2018-01-09;393808409;17436;79423.77;41337.98
273;2018-01-09;15698716;13630;8426.4;80744.99
274;2018-01-09;1761691;13630;82699.58;35534.18
275;2018-01-09;528641685;13630;85676.5;20137.82
276;2018-01-09;8736635;13630;49431.12;49600.42
277;2018-01-09;17132;13630;85355.62;49592.76
278;2018-01-09;8736635;13630;59068.13;89656.92
279;2018-01-09;10006159;13630;19123.27;40897.01
280;2018-01-09;10006159;13630;93994.02;67687.46
281;2018-01-09;8736635;13630;91066.74;60292.01
282;2018-01-09;409685020;13630;64876.53;3137.35
283;2018-01-09;15698716;13630;15053.75;938.97
284;2018-01-09;1761691;13630;91389.71;2985.38
285;2018-01-09;13685;13632;52688.25;93367.53
286;2018-01-09;409685020;13630;56536.27;92026.23
287;2018-01-09;451932940;13630;5889.91;36062.07
288;2018-01-09;37051;13630;67141.12;63609.15
289;2018-01-09;17437;13630;99567.07;11909.14
290;2018-01-09;409685020;13630;42732.13;68890.07
291;2018-01-09;434141714;13630;54336.61;40744.11
292;2018-01-09;1761691;13630;49935.79;48117.89
293;2018-01-09;10006159;13630;55867.89;85250.03
294;2018-01-09;13630;17436;32485.72;94751.25
295;2018-01-09;13985;13630;86591.26;29593.55
296;2018-01-09;1761691;13630;14284.5;20095.92
297;2018-01-09;409685020;13630;18958.53;86749.31
298;2018-01-09;393808409;17436;69728.51;87832.35
299;2018-01-09;17436;1972647;38892.05;70813.48
300;2018-01-09;12048338;13630;44323.37;61114.65
301;2018-01-09;17436;13630;74112.52;39235.85
302;2018-01-09;10006159;13630;27560.41;91566.41
303;2018-01-09;409685020;13630;56199.88;16572.24
304;2018-01-09;409685020;13630;13209.58;84922.68
305;2018-01-09;10006159;13630;61501.91;1800.26
306;2018-01-09;37051;13630;58547;73459.88
307;2018-01-09;305763419;13630;81641.12;43929.81
308;2018-01-09;311159924;13630;15805.36;46934.63
309;2018-01-09;2682058;13632;45542.04;97362.25
310;2018-01-09;67230335;13632;97888.6;1645.01
311;2018-01-09;13630;17436;30532.52;5674.2
312;2018-01-09;8736635;13630;23081.3;71646.78
313;2018-01-09;17437;13630;80116.84;26264.78
314;2018-01-09;8736635;13630;79858.58;44781.96
315;2018-01-09;409685020;13630;6875.54;11464.49
316;2018-01-09;10006159;13630;24723.8;73679.59
317;2018-01-09;10006159;13630;51144.99;70292.54
318;2018-01-09;393808409;17434;60456.48;10536.5
319;2018-01-09;409685020;13630;57316.35;63145.36
320;2018-01-09;434141714;13630;33040.58;17369.8
321;2018-01-09;17436;13630;87050.29;91032.71
322;2018-01-09;1761691;13630;68211.13;68232.38
323;2018-01-09;393808409;30277;73523.36;30089.85
324;2018-01-09;92629528;13630;67030.55;64500.58
325;2018-01-09;1761691;13630;84111.56;67617.11
326;2018-01-09;6093814;13630;89477.36;69424.57
327;2018-01-09;393808409;17437;76487.68;67404.67
328;2018-01-09;6077138;13630;32761.43;54229.36
329;2018-01-09;393808409;17436;65500.62;7419
330;2018-01-09;8736635;13630;36348.36;63075.42
331;2018-01-09;10006159;13630;28036.73;37933.37
332;2018-01-09;73311876;13630;58602.27;12646.9
333;2018-01-09;529813761;13906;72092.8;19003.47
334;2018-01-09;393808409;17436;83996.38;38957.47
335;2018-01-09;10006159;13630;7075.17;48845.93
336;2018-01-09;1761691;13630;64304.43;32592.33
337;2018-01-09;17436;13630;88394.97;66099.73
338;2018-01-09;17436;13630;69877.39;4055.89
339;2018-01-09;393808409;17436;35764.05;90111.85
340;2018-01-09;15698716;13630;36147.36;64228.4
341;2018-01-09;10006159;13630;93881.88;69335.95
342;2018-01-09;1761691;13630;14206.53;83363.22
343;2018-01-09;311159924;13630;78869.16;57485.23
344;2018-01-09;1761691;13630;27908.95;16645.62
345;2018-01-09;10006159;13630;77711.54;96804.84
346;2018-01-09;1761691;13630;73611.92;85353.08
347;2018-01-09;13985;13630;1078.74;91642.85
348;2018-01-09;1761691;13630;30016.7;59143.08
349;2018-01-09;451932940;13630;10036.19;52207.51
350;2018-01-09;48182547;13630;7189.84;80598.53
351;2018-01-09;17132;17439;78935.78;31334.98
352;2018-01-09;434141714;13630;97092.91;72506.53
353;2018-01-09;17436;30277;33716.84;59354.75
354;2018-01-09;13630;17434;73480.45;12251.73
355;2018-01-09;393808409;1972647;57516.52;68908.79
356;2018-01-09;12048338;13630;18457.76;59382.51
357;2018-01-09;13632;298332839;76754.94;50554.89
358;2018-01-09;8736635;13630;46438.64;6905.89
359;2018-01-09;10006159;13630;95418.6;86511.22
360;2018-01-09;13630;17436;29292.52;49804.33
361;2018-01-09;393808409;17436;15808.32;57608.3
362;2018-01-09;331483502;17436;24310.54;8153.91
363;2018-01-09;15698716;13630;40488.78;94321.13
364;2018-01-09;26899;17436;91735.41;98431.16
365;2018-01-09;10006159;13630;18307.24;77067.23
366;2018-01-09;409684688;13632;84654.42;14699.84
367;2018-01-09;409685020;13630;21446.83;33240.27
368;2018-01-09;1761691;13630;36734.93;27598.72
369;2018-01-09;529751911;13630;28690.7;87686.98
370;2018-01-09;2639288;13630;95614.95;36385.68
371;2018-01-09;393808409;17436;26394.02;46366.71
372;2018-01-09;10006159;13630;76028.12;54466.48
373;2018-01-09;10006159;13630;47359.73;20050.56
374;2018-01-09;10006159;13630;92258.96;96497.34
375;2018-01-09;1761691;13630;78154.07;59309.21
376;2018-01-09;17436;13630;8947.41;25844.5
377;2018-01-09;15698716;13630;9815.8;31500.38
378;2018-01-09;409685020;13630;88752.44;19424.56
379;2018-01-09;393808409;17436;25656.11;88828.32
380;2018-01-09;17436;13630;70937.68;52024.07
381;2018-01-09;37051;13630;36421.98;58134.87
382;2018-01-09;15698716;13630;26951.57;78963.35
383;2018-01-09;528641685;13630;2149.06;55192.69
384;2018-01-09;393808409;17434;86981.23;5445.64
385;2018-01-09;41413657;13630;38241.87;42053.59
386;2018-01-09;10006159;13630;43291.56;21812.62
387;2018-01-09;528641685;13630;32877.93;5320.64
388;2018-01-09;409685106;13631;4270.81;63168.05
389;2018-01-09;311159924;13630;77658.86;16569.51
390;2018-01-09;409685020;13630;4651.25;18642.84
391;2018-01-09;409685020;13630;53630.35;682.83
392;2018-01-09;393806608;17436;24275.66;28123.04
393;2018-01-09;393808409;17436;8567.61;73406.85
394;2018-01-09;1761691;13630;34124.4;47102.95
395;2018-01-09;13630;17436;22068.59;7672.61
396;2018-01-09;409685020;13630;79622.8;65112.67
397;2018-01-09;311161703;13632;45821.85;22566.52
398;2018-01-09;409685020;13630;15349.03;28543.08
399;2018-01-09;10006159;13630;1559.41;63009.35
400;2018-01-09;409685020;13630;59912.12;85601.6
401;2018-01-09;393807930;13632;62104.16;35550.53
402;2018-01-09;1761691;13630;18309.96;11032
403;2018-01-09;1761691;13630;64629.85;13218.23
404;2018-01-09;1761691;13630;89012.55;87474.66
405;2018-01-09;393808409;17436;48069.89;93403.68
406;2018-01-09;409685020;13630;38067.4;79286.46
407;2018-01-09;434141714;13630;89511.15;95213.34
408;2018-01-09;1761691;13630;80147.11;44989.59
409;2018-01-09;13985;13630;31541.72;61075.97
410;2018-01-09;15698716;13630;26066.3;24217.64
411;2018-01-09;393808409;17437;62865.3;66604.03
412;2018-01-09;8736635;13630;70558.32;84063.72
413;2018-01-09;10006159;13630;64620.11;58640.6
414;2018-01-09;1761691;13630;50355.7;34437.34
415;2018-01-09;12048338;13630;68329.99;64182.93
416;2018-01-09;10006159;13630;48769.65;39763.01
417;2018-01-09;490890699;17132;52120.04;22961.21
418;2018-01-09;393808409;17436;29674.84;18260.2
419;2018-01-09;17132;13630;13901.05;13288.21
420;2018-01-09;1761691;13630;15597.7;56637.5
421;2018-01-09;67230420;13632;66810.54;72191.8
422;2018-01-09;13619;13631;26389.41;11579.74
423;2018-01-09;528641685;13630;2885.96;59769.91
424;2018-01-09;1761691;13630;10102.26;77363.58
425;2018-01-09;2682058;13632;83642.49;41415.33
426;2018-01-09;393808409;17436;52760.72;64424.71
427;2018-01-09;419005832;13632;29613.38;30470.44
428;2018-01-09;17436;13630;69665.33;26724.27
429;2018-01-09;393808409;17436;94191.12;68665.66
430;2018-01-09;10006159;13630;45469.34;32959.85
431;2018-01-09;10006159;13630;77401.16;37782.21
432;2018-01-09;48182547;13630;27237.67;189.93
433;2018-01-09;10006159;13630;16364.89;67742.24
434;2018-01-09;17436;13630;97546.66;3412.2
435;2018-01-09;34156728;34156914;8501.55;95744.81
436;2018-01-09;393808409;17436;1627.09;98352.26
437;2018-01-09;37051;13630;33267.76;52455.71
438;2018-01-09;30277;13630;35797.38;65751.26
439;2018-01-09;15698716;13630;26373.93;80660.58
440;2018-01-09;10006159;13630;61427.3;48262.6
441;2018-01-09;8736635;13630;55.93;3116.42
442;2018-01-09;15698716;13630;98862.05;97943.37
443;2018-01-09;529752069;13630;94653.37;18434.98
444;2018-01-09;409685020;13630;66487.28;46311.16
445;2018-01-09;2682057;13630;91626.87;75144.18
446;2018-01-09;409685020;13630;51220.05;91302.21
447;2018-01-09;393808409;17436;51070.42;42835.37
448;2018-01-09;393808409;17436;56827.43;83175.43
449;2018-01-09;393808409;17436;39934.04;23936.07
450;2018-01-09;10006159;13630;14991.94;11387.51
451;2018-01-09;17244;17436;55514.71;11729.35
452;2018-01-09;8736635;13630;75715.84;16910.25
453;2018-01-09;10006159;13630;93871.05;88558.1
454;2018-01-09;10006159;13630;30175.97;55987.31
455;2018-01-09;409685020;13630;11131.02;31092.63
456;2018-01-09;393806608;17436;74986.87;94247.05
457;2018-01-09;393808409;17436;71782.08;44331.39
458;2018-01-09;13985;13630;30903.22;72054.53
459;2018-01-09;13630;17436;56217.19;93724.96
460;2018-01-09;393808409;17436;46501.09;7991.75
461;2018-01-09;1761691;13630;42886.42;48766.71
462;2018-01-09;37051;13630;94714.42;59571.97
463;2018-01-09;18880783;13630;38580.18;58454.51
464;2018-01-09;393808409;17436;81527.69;73201.81
465;2018-01-09;1761691;13630;76391.79;50789.33
466;2018-01-09;10006159;13630;77138.77;81888.64
467;2018-01-09;13985;13630;92389.93;37143.14
468;2018-01-09;434141714;13630;65172.85;93926.98
469;2018-01-09;1761691;13630;91674.52;29038.02
470;2018-01-09;1761691;13630;53930.68;5784.39
471;2018-01-09;10006159;13630;49527.61;41474.15
472;2018-01-09;13630;17436;40558.21;63408.94
473;2018-01-09;311161686;13630;19475.56;82123.27
474;2018-01-09;393808409;30277;63356.74;7287.61
475;2018-01-09;409685020;13630;36560.32;3328.52
476;2018-01-09;18880783;13630;91167.18;82820.46
477;2018-01-09;13985;13630;72702.78;9706.36
478;2018-01-09;393808409;17439;70959.48;94094.89
479;2018-01-09;311161686;13630;70183.86;57243.52
480;2018-01-09;1761691;13630;90112.06;70262.83
481;2018-01-09;13985;13630;39347.43;7314.74
482;2018-01-09;434141714;13630;37875.95;3520.95
483;2018-01-09;409685020;13630;68235.77;40159.72
484;2018-01-09;393806608;17436;88174.03;63456.6
485;2018-01-09;10006159;13630;73369.4;84833.9
486;2018-01-09;409685020;13630;77838.92;5744.8
487;2018-01-09;15698716;13630;35199.11;87059.3
488;2018-01-09;17436;17434;71400.7;62361.99
489;2018-01-09;393808409;30277;30889.98;58071.16
490;2018-01-09;12048338;13630;66859.58;75140.5
491;2018-01-09;92629528;13630;61783.03;72694.87
492;2018-01-09;393808409;17436;56022.27;49094.57
493;2018-01-09;393808409;17436;60495.69;48098.25
494;2018-01-09;10006159;13630;75983.53;62573.79
495;2018-01-09;409684688;13632;94386.66;55284.91
496;2018-01-09;393808409;17436;64189.81;31021.95
497;2018-01-09;1761691;13630;36352.75;91806.63
498;2018-01-09;393808409;17436;9305.33;17763.38
499;2018-01-09;15698716;13630;81633.88;28732.24
500;2018-01-09;393808409;17436;26865.54;92844.97
501;2018-01-09;10006159;13630;66957.17;41195.66
502;2018-01-09;409685020;13630;13032.41;71759.43
503;2018-01-09;409685020;13630;90387.82;62567.88
504;2018-01-09;10006159;13630;45182.45;3592.77
505;2018-01-09;13985;13630;67777.52;37819.07
506;2018-01-09;13658;13632;69235.39;31966.89
507;2018-01-09;13630;17436;29938.39;46134.33
508;2018-01-09;168169085;13630;19357.4;99843.12
509;2018-01-09;1761691;13630;55412.99;13859.48
510;2018-01-09;10006159;13630;66094.74;62622.43
511;2018-01-09;13985;13630;95444.63;52363.84
512;2018-01-09;13630;17436;94478.55;9722.15
513;2018-01-09;8736635;13630;76640.54;87144.25
514;2018-01-09;409685020;13630;23508.17;16832.98
515;2018-01-09;73311876;13630;15791.55;98266.23
516;2018-01-09;10006159;13630;55206.95;97847.16
517;2018-01-09;409685020;13630;99266.81;79891.99
518;2018-01-09;15698716;13630;46899.93;52170.85
519;2018-01-09;393808409;17436;35262.74;1204.72
520;2018-01-09;393808409;17132;52687.34;28273.2
521;2018-01-09;13630;17436;85917.32;45218.92
522;2018-01-09;92629528;13630;94540.69;24325.05
523;2018-01-09;17436;17132;1419.24;83547.22
524;2018-01-09;393808409;17436;30865.07;91765.74
525;2018-01-09;73311876;13630;5666.12;75400.07
526;2018-01-09;10006159;13630;80385.8;77078.51
527;2018-01-09;37051;13630;81096.09;21344.09
528;2018-01-09;409685020;13630;2567.12;43597.71
529;2018-01-09;168169085;13630;28339.91;36540.58
530;2018-01-09;4243715;17436;88592.42;6179.37
531;2018-01-09;311161703;13632;60834.11;389.4
532;2018-01-09;10006159;13630;1439.92;67044.33
533;2018-01-09;1761691;13630;17711.05;16135.32
534;2018-01-09;409685020;13630;84137.74;65201.13
535;2018-01-09;409684688;13632;47339.04;72044.74
536;2018-01-09;409685020;13630;28116.32;41330.31
537;2018-01-09;10006159;13630;59078.41;60635.43
538;2018-01-09;1761691;13630;86947.48;96863.87
